SEP=;
portion_DEFAULT(%);total_prepared();total_operated();total_recoved();total_deceased();total_patients();interval_patients(hours);from_wait_to_prep(hours);from_prep_to_oper(hours);from_wait_to_reco(hours);mean_prep_time_distr(hours);mean_oper_time_distr(hours);mean_oper_reco_distr(hours);operation_usage(%);arr_queue_length();idle_capacity();move_reco_blocked(%);all_reco_busy(%)
100,0;31,0;27,0;26,0;0,0;30,0;31,979874006666066;61,98086202766085;48,63623854857183;164,9146325841152;50,91832035797463;25,459160178987315;50,91832035797463;78,8;0,255;0,758;0,0;0,0
100,0;48,0;48,0;49,0;0,0;48,0;21,176289367310588;53,57464551985256;47,78058492378768;142,72448004648513;33,49756316058368;16,74878158029184;33,49756316058368;84,4;0,629;0,45;0,0;2,1
100,0;38,0;36,0;36,0;0,0;38,0;26,79938761137142;56,40973288037233;43,87072759704238;147,96018920146514;41,508783579109064;20,754391789554532;41,508783579109064;85,1;0,355;0,779;0,0;0,9
100,0;39,0;42,0;44,0;0,0;40,0;25,175634520591267;38,99375616164858;33,188845920780956;109,01681406585357;39,961746302054785;19,980873151027392;39,961746302054785;78,1;0,071;1,069;0,0;0,9
100,0;41,0;41,0;44,0;0,0;42,0;24,29468362049932;47,53772597571974;43,108587413839025;129,42235579114606;40,698318561308604;20,349159280654302;40,698318561308604;79,7;0,37;0,696;0,0;1,5
100,0;45,0;45,0;44,0;0,0;45,0;22,44482837891728;44,15823000852718;43,39023343069709;126,38312076395232;35,95517914053917;17,977589570269586;35,95517914053917;81,2;0,259;0,705;0,0;0,3
100,0;37,0;40,0;39,0;0,0;37,0;26,3867088262909;53,404096906804114;53,56099431842967;150,13038595673723;42,95270074925301;21,476350374626506;42,95270074925301;81,6;0,406;0,605;2,5;2,5
100,0;38,0;39,0;40,0;0,0;37,0;27,039529904509653;49,29425758761395;36,68546449278638;128,7584310406325;42,31226029974715;21,156130149873576;42,31226029974715;80,8;0,111;0,912;0,0;0,4
100,0;47,0;46,0;47,0;0,0;47,0;22,443931991265814;51,40507262815834;46,27575274491632;135,60148902162774;37,646961812955226;18,823480906477613;37,646961812955226;83,4;0,477;0,454;0,0;0,8
100,0;42,0;39,0;37,0;0,0;43,0;23,99982759548449;98,28032530939576;61,634609610034325;202,32840482188524;36,17778683964759;18,088893419823794;36,17778683964759;84,0;2,304;0,223;2,5641025641025643;3,8
100,0;36,0;36,0;35,0;0,0;36,0;27,51396958836725;52,792402771422765;49,78027756409085;148,58105666778906;45,3172567502717;22,65862837513585;45,3172567502717;82,3;0,243;0,609;2,7777777777777777;1,5
100,0;29,0;31,0;30,0;0,0;29,0;32,37962639398426;59,92048193906327;45,872828159926215;153,20305638346107;53,94414905118508;26,97207452559254;53,94414905118508;73,7;0,281;0,781;3,225806451612903;1,6
100,0;33,0;34,0;34,0;0,0;33,0;30,51855232552694;77,0236987931191;63,38475868306405;190,1129862378504;48,26308956956461;24,131544784782307;48,26308956956461;83,0;0,912;0,44;0,0;0,0
100,0;40,0;39,0;39,0;0,0;42,0;24,504361609397268;40,080659059750666;30,81195624790323;108,0096588427316;39,528213290116895;19,764106645058447;39,528213290116895;75,9;0,136;0,936;0,0;1,0
100,0;46,0;47,0;48,0;0,0;45,0;21,21550209943273;39,00785566218777;32,0418504689059;104,89954552451779;36,57702845106359;18,288514225531795;36,57702845106359;77,0;0,156;0,886;2,127659574468085;0,5
100,0;47,0;47,0;51,0;0,0;45,0;22,63385005383587;70,6362519711326;47,529929904525915;153,577640708145;35,706310197150266;17,853155098575133;35,706310197150266;77,9;1,459;0,312;2,127659574468085;0,9
100,0;47,0;45,0;43,0;0,0;53,0;18,94754660069427;55,62654492527762;50,06691791074077;140,78692263496893;30,89895622890708;15,44947811445354;30,89895622890708;82,9;1,469;0,292;0,0;0,8
100,0;47,0;48,0;47,0;0,0;44,0;23,525050995364946;156,37968843027843;65,73113247195424;267,81251319274435;36,082619949721966;18,041309974860983;36,082619949721966;87,2;5,09;0,0;2,0833333333333335;2,6
100,0;37,0;38,0;33,0;0,0;38,0;26,430640447987706;48,29927484720357;46,59354832529414;138,5155176201619;42,730593948500115;21,365296974250057;42,730593948500115;83,2;0,49;0,726;0,0;0,2
100,0;40,0;40,0;40,0;0,0;39,0;24,748797772845858;49,70366055952509;44,982716471080494;129,99045708616285;45,1692423906264;22,5846211953132;45,1692423906264;76,17617617617617;0,4964964964964965;0,5065065065065065;0,0;0,1001001001001001
