SEP=;
portion_DEFAULT(%);total_prepared();total_operated();total_recoved();total_deceased();total_patients();interval_patients(hours);from_wait_to_prep(hours);from_prep_to_oper(hours);from_wait_to_reco(hours);mean_prep_time_distr(hours);mean_oper_time_distr(hours);mean_oper_reco_distr(hours);operation_usage(%);arr_queue_length();idle_capacity();move_reco_blocked(%);all_reco_busy(%)
100,0;31,0;27,0;26,0;0,0;30,0;31,979874006666066;55,48528006322345;51,27737055370327;161,06018262480922;50,91832035797463;25,459160178987315;50,91832035797463;78,8;0,048;1,778;0,0;0,0
100,0;47,0;50,0;51,0;0,0;48,0;21,176289367310588;44,352329426941814;56,54188234735179;141,12961487227892;33,49756316058368;16,74878158029184;33,49756316058368;86,9;0,234;1,346;0,0;3,2
100,0;38,0;36,0;36,0;0,0;38,0;26,79938761137142;50,73561346892461;50,910849447533664;149,43433182900677;41,508783579109064;20,754391789554532;41,508783579109064;85,4;0,111;1,609;2,7777777777777777;1,8
100,0;39,0;41,0;41,0;0,0;40,0;25,175634520591267;37,59120550224426;31,596498410716134;106,13557789857315;39,961746302054785;19,980873151027392;39,961746302054785;77,2;0,027;2,091;0,0;0,6
100,0;41,0;41,0;43,0;0,0;42,0;24,29468362049932;41,26461047167394;48,19793676038116;127,85762252990135;40,698318561308604;20,349159280654302;40,698318561308604;79,5;0,122;1,623;0,0;1,2
100,0;45,0;45,0;45,0;0,0;45,0;22,44482837891728;40,235557756730486;47,205916369957855;126,60930354747728;35,95517914053917;17,977589570269586;35,95517914053917;81,4;0,049;1,617;0,0;0,5
100,0;37,0;40,0;39,0;0,0;37,0;26,3867088262909;45,50493734047408;55,815491189342886;144,85790202364277;42,95270074925301;21,476350374626506;42,95270074925301;83,1;0,095;1,558;2,5;2,0
100,0;37,0;37,0;38,0;0,0;37,0;27,039529904509653;40,853861585508206;33,483597224714735;114,4536440845219;42,31226029974715;21,156130149873576;42,31226029974715;80,0;0,02;1,989;0,0;0,0
100,0;47,0;46,0;46,0;0,0;47,0;22,443931991265814;43,48343078512612;50,48813109765401;132,55052156953326;37,646961812955226;18,823480906477613;37,646961812955226;83,3;0,112;1,455;2,1739130434782608;0,7
100,0;43,0;38,0;37,0;0,0;43,0;23,99982759548449;75,71907332763412;75,83697642778635;193,90294572250247;36,17778683964759;18,088893419823794;36,17778683964759;86,4;1,309;0,757;0,0;2,2
100,0;36,0;35,0;35,0;0,0;36,0;27,51396958836725;47,37960455086795;49,34305147448145;142,6324543015624;45,3172567502717;22,65862837513585;45,3172567502717;80,1;0,047;1,664;0,0;1,4
100,0;29,0;29,0;30,0;0,0;29,0;32,37962639398426;53,379284047004454;50,42725769418151;154,7302202607876;53,94414905118508;26,97207452559254;53,94414905118508;69,9;0,055;1,76;0,0;0,0
100,0;33,0;33,0;34,0;0,0;33,0;30,51855232552694;63,90510331501055;75,39234427840293;189,00197635508073;48,26308956956461;24,131544784782307;48,26308956956461;81,6;0,486;1,237;0,0;1,9
100,0;41,0;38,0;39,0;0,0;42,0;24,504361609397268;38,35694568558551;32,321515340127426;107,79550456079065;39,528213290116895;19,764106645058447;39,528213290116895;74,7;0,061;1,893;0,0;1,0
100,0;46,0;45,0;47,0;0,0;45,0;21,21550209943273;35,390362101322566;31,29270465735518;101,14458171718077;36,57702845106359;18,288514225531795;36,57702845106359;75,5;0,04;1,868;2,2222222222222223;0,6
100,0;46,0;45,0;48,0;0,0;45,0;22,63385005383587;51,890442625292884;54,921474838083974;142,8993227099545;35,706310197150266;17,853155098575133;35,706310197150266;80,1;0,556;1,288;2,2222222222222223;0,7
100,0;53,0;46,0;44,0;0,0;53,0;18,94754660069427;43,01532437486424;60,5805058200926;138,2904614608137;30,89895622890708;15,44947811445354;30,89895622890708;84,1;0,708;0,796;2,1739130434782608;1,7
100,0;45,0;49,0;49,0;0,0;44,0;23,525050995364946;81,07446442804064;77,77107496336635;206,18614190373862;36,082619949721966;18,041309974860983;36,082619949721966;90,7;1,33;0,505;4,081632653061225;5,8
100,0;38,0;39,0;38,0;0,0;38,0;26,430640447987706;44,67134452536476;45,655264119133214;134,04416413425477;42,730593948500115;21,365296974250057;42,730593948500115;86,3;0,041;1,757;2,5641025641025643;1,1
100,0;41,0;39,0;37,0;0,0;39,0;24,748797772845858;37,628421260376115;40,29073945501492;113,0566510664613;45,1692423906264;22,5846211953132;45,1692423906264;75,77577577577577;0,09109109109109109;1,6346346346346345;0,0;0,0
