SEP=;
portion_MILD(%);portion_SEVERE(%);portion_CRITICAL(%);total_prepared();total_operated();total_recoved();total_deceased();total_patients();interval_patients(hours);from_wait_to_prep(hours);from_prep_to_oper(hours);from_wait_to_reco(hours);mean_prep_time_distr(hours);mean_oper_time_distr(hours);mean_oper_reco_distr(hours);operation_usage(%);arr_queue_length();idle_capacity();move_reco_blocked(%);all_reco_busy(%)
66,66666666666667;23,333333333333332;10,0;24,0;24,0;26,0;0,0;30,0;31,979874006666066;126,33003847911108;52,494692863924826;236,73225030437027;90,12761530670308;25,459160178987315;50,91832035797463;64,4;1,281;0,089;0,0;0,7
89,58333333333333;6,25;4,166666666666667;27,0;28,0;26,0;0,0;48,0;21,176289367310588;495,6481777073653;53,17912177798163;591,8593959276217;42,12270586990105;16,74878158029184;33,49756316058368;67,4;20,634;0,0;0,0;0,0
71,05263157894737;28,94736842105263;0,0;34,0;28,0;28,0;0,0;38,0;26,79938761137142;610,3084750534489;44,87337520932715;701,540743740176;51,39192022179583;20,754391789554532;41,508783579109064;69,9;19,006;0,0;0,0;0,0
67,5;30,0;2,5;52,0;54,0;55,0;0,0;40,0;25,175634520591267;732,8367234476801;41,11326663051583;804,5668677074185;56,22962136319671;19,980873151027392;39,961746302054785;78,5;31,625;0,0;1,8518518518518519;1,2
78,57142857142857;11,904761904761905;9,523809523809524;51,0;52,0;51,0;0,0;42,0;24,29468362049932;718,897034316267;40,99608301842714;794,2723214311623;68,58640165538642;20,349159280654302;40,698318561308604;85,9;28,797;0,0;0,0;2,1
82,22222222222223;15,555555555555555;2,2222222222222223;43,0;41,0;40,0;0,0;45,0;22,44482837891728;775,0035439363559;46,33328932578534;863,8446171619714;42,39959347091909;17,977589570269586;35,95517914053917;84,0;28,795;0,0;0,0;1,3
70,27027027027027;27,027027027027028;2,7027027027027026;41,0;46,0;46,0;0,0;37,0;26,3867088262909;678,7719274474339;39,89067831622869;754,1062398404679;58,6385253262039;21,476350374626506;42,95270074925301;82,9;24,113;0,0;0,0;0,0
72,97297297297297;21,62162162162162;5,405405405405405;63,0;62,0;64,0;0,0;37,0;27,039529904509653;643,0193558672771;28,72346187159721;695,6846575224404;66,11889788894733;21,156130149873576;42,31226029974715;74,3;27,516;0,0;1,6129032258064515;1,1
76,59574468085107;19,148936170212767;4,25531914893617;46,0;50,0;49,0;0,0;47,0;22,443931991265814;731,0255376021586;37,40009245340286;798,3876837206935;56,539965039855005;18,823480906477613;37,646961812955226;76,2;31,549;0,0;0,0;0,6
79,06976744186046;16,27906976744186;4,651162790697675;18,0;18,0;17,0;0,0;43,0;23,99982759548449;946,3655920521624;72,52204249126225;1091,9570736395765;53,796521487282526;18,088893419823794;36,17778683964759;67,3;27,413;0,0;0,0;0,0
72,22222222222223;22,22222222222222;5,555555555555555;46,0;46,0;47,0;0,0;36,0;27,51396958836725;1102,149276134916;36,49393189477183;1177,090709524379;70,14381477542581;22,65862837513585;45,3172567502717;76,2;40,142;0,0;0,0;0,5
65,51724137931035;17,24137931034483;17,24137931034483;32,0;36,0;35,0;0,0;29,0;32,37962639398426;1294,0937863844563;54,21866475971785;1394,929560811902;124,42264993407885;26,97207452559254;53,94414905118508;73,9;46,498;0,0;2,7777777777777777;2,1
72,72727272727273;15,151515151515152;12,121212121212121;16,0;14,0;14,0;0,0;33,0;30,51855232552694;1673,9615811294666;48,78763333488418;1779,991530006879;89,60756626585673;24,131544784782307;48,26308956956461;44,3;54,34;0,0;0,0;0,0
73,80952380952381;21,428571428571427;4,761904761904762;31,0;33,0;32,0;0,0;42,0;24,504361609397268;2115,9584227066407;41,057995544996515;2203,394475142962;62,7855044884219;19,764106645058447;39,528213290116895;74,9;79,276;0,0;0,0;1,1
80,0;15,555555555555555;4,444444444444445;51,0;52,0;54,0;0,0;45,0;21,21550209943273;2419,618200885391;46,63760690429007;2501,9931854489146;56,338438080636195;18,288514225531795;36,57702845106359;88,1;102,701;0,0;1,9230769230769231;1,3
80,0;15,555555555555555;4,444444444444445;42,0;39,0;40,0;0,0;45,0;22,63385005383587;2635,8902445811905;49,06165885986074;2725,3516705194206;53,562087981165625;17,853155098575133;35,706310197150266;74,5;110,322;0,0;0,0;0,3
84,90566037735849;11,320754716981131;3,7735849056603774;49,0;48,0;47,0;0,0;53,0;18,94754660069427;2640,1396665965976;39,62627295924795;2715,875982958107;44,120089177856;15,44947811445354;30,89895622890708;87,1;106,652;0,0;0,0;0,4
86,36363636363636;4,545454545454546;9,090909090909092;39,0;40,0;42,0;0,0;44,0;23,525050995364946;2767,6459528646387;40,50656520622839;2848,042784949418;57,11468416115883;18,041309974860983;36,082619949721966;72,6;113,202;0,0;0,0;0,2
68,42105263157895;28,94736842105263;2,6315789473684212;32,0;35,0;39,0;0,0;38,0;26,430640447987706;2945,3625482093694;33,88848085393655;3013,422292818037;64,36179630255013;21,365296974250057;42,730593948500115;52,1;120,166;0,0;0,0;0,0
69,23076923076923;23,076923076923077;7,6923076923076925;54,0;54,0;58,0;0,0;39,0;24,748797772845858;3303,979837932984;37,49466241007281;3374,1964796353077;82,88012391760437;22,5846211953132;45,1692423906264;82,28228228228228;135,3073073073073;0,0;0,0;2,3023023023023024
